model,evidence_mode,users,duration_s,transport,verify_proof,sent,successful,failed,error_rate_pct,throughput_rps,mean_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms,stdev_ms,mean_staleness_ms,p95_staleness_ms,max_staleness_ms,refresh_count_total,refresh_count_delta,amplification_total_refreshes,amplification_run_refreshes,last_refresh_ms,tdx_verdict,tdx_runtime_verdict,mean_response_payload_bytes,p99_response_payload_bytes,mean_raw_quote_bytes,mean_ima_log_bytes,mean_command_log_bytes,mean_ima_entries,mean_command_log_entries,snapshot_raw_quote_bytes,snapshot_ima_log_bytes,snapshot_command_log_bytes,snapshot_ima_entries,snapshot_command_log_entries
vordr-single-wen,full,1,2.0,tcp,True,823,823,0,0.0,411.5,1.349686044081593,1.3102758675813675,1.7614103853702545,2.0124800503253937,1.1233165860176086,2.523554489016533,0.19243183005946374,1662.6109937850933,2517.5716876983643,2611.015796661377,1,0,823.0,0.0,42.16672107577324,TRUSTED,CLEAN,214280.51761846902,214282.0,3712.0,37250.0,118569.0,250.0,250.0,3712,37250,118569,250,250
vordr-single-wen,full,4,2.0,tcp,True,1579,1579,0,0.0,789.5,4.177706573274107,4.114886745810509,5.095990374684334,6.778189912438393,2.7673467993736267,10.49504429101944,0.6232187393794348,1592.2998646681183,2496.0875511169434,2610.3355884552,1,0,1579.0,0.0,42.128415778279305,TRUSTED,CLEAN,214281.47118429386,214283.0,3712.0,37250.0,118569.0,250.0,250.0,3712,37250,118569,250,250
