model,users,duration_s,transport,verify_proof,sent,successful,failed,error_rate_pct,throughput_rps,mean_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms,stdev_ms,mean_staleness_ms,p95_staleness_ms,max_staleness_ms,refresh_count_total,refresh_count_delta,amplification_total_refreshes,amplification_run_refreshes,last_refresh_ms,tdx_verdict
vordr-single-wen,1,2.0,tls,True,2951,2951,0,0.0,1475.5,0.6045189950273062,0.38264133036136627,1.3718511909246445,1.4504827558994293,0.19186362624168396,1.5015862882137299,0.376217455041347,1577.9941195918116,2467.956304550171,2571.5129375457764,1,0,2951.0,0.0,42.141228914260864,TRUSTED
vordr-single-wen,4,2.0,tls,True,21875,21875,0,0.0,10937.5,0.34531171730586463,0.34020282328128815,0.36818161606788635,0.5524475127458572,0.2658795565366745,5.017440766096115,0.054397773942608404,1585.9653945159912,2467.428684234619,2564.8105144500732,1,0,21875.0,0.0,42.185403406620026,TRUSTED
