model,users,duration_s,transport,verify_proof,sent,successful,failed,error_rate_pct,throughput_rps,mean_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms,stdev_ms,mean_staleness_ms,p95_staleness_ms,max_staleness_ms,refresh_count_total,refresh_count_delta,amplification_total_refreshes,amplification_run_refreshes,last_refresh_ms,tdx_verdict
vordr-single-wen,1,2.0,tcp,True,8776,8776,0,0.0,4388.0,0.20190164253265072,0.16761664301156998,0.3571193665266037,0.6517991423606873,0.1352708786725998,0.8589662611484528,0.09613778273348295,1390.2763131812364,2367.5262928009033,2568.4456825256348,1,0,8776.0,0.0,42.15000011026859,TRUSTED
vordr-single-wen,4,2.0,tcp,True,27214,27214,0,0.0,13607.0,0.2755972024204187,0.2634432166814804,0.3500077873468399,0.5732551217079163,0.202864408493042,1.0663047432899475,0.057752031317672044,1581.4156214180057,2465.606927871704,2562.3297691345215,1,0,27214.0,0.0,42.12215915322304,TRUSTED
